"Título","Data","Material de Aula"
"21- Processamento de imagens usando OpenCV","5/27/2026 10:00 AM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/21-%20Processamento%20de%20imagens%20usando%20OpenCV?csf=1&web=1&e=6isZvn"
"22-Conhecendo algoritmos de árvores","6/1/2026 10:00 AM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/22-%20Conhecendo%20os%20algoritmos%20de%20%C3%A1rvores?csf=1&web=1&e=tLajvC"
"23-Desenvolvendo Software com IA Generativa","6/2/2026 10:00 AM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/23-%20Desenvolvendo%20Software%20com%20IA%20Generativa?csf=1&web=1&e=zKhaRo"
"24-Fairness em Machine Learning","6/9/2026 10:00 AM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/24-%20Fairness%20em%20Algoritmos%20de%20Machine%20Learning?csf=1&web=1&e=8djdH7"
"25-Análise de séries temporais","6/10/2026 10:00 AM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/25-%20An%C3%A1lise%20de%20s%C3%A9ries%20temporais?csf=1&web=1&e=3TbMb9"
"26-Machine Learning on Edge - TensorFlow Lite","6/16/2026 10:00 AM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/26-%20Machine%20Learning%20on%20Edge%20Devices%20com%20Tensor%20Flow%20Lite?csf=1&web=1&e=6nxjDZ"
"27-Segment Anything Model (SAM) da Meta ","6/17/2026 10:00 AM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/27-%20Meta%20AL%20Segment%20Anything?csf=1&web=1&e=3SX4iC"
"28-Desenvolvendo um projeto end-to-end de Machine Learning ","6/18/2026 10:00 AM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/28-%20Desenvolvendo%20um%20projeto%20end-to-end%20de%20machine%20learning?csf=1&web=1&e=ZsZvoF"
"29-Processamento de Linguagem Natural (NLP)","6/26/2026 10:00 AM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/29-%20Processamento%20de%20Linguagem%20Natural%20(NLP)?csf=1&web=1&e=7chivT"
"30-Inteligência Artificial Generativa ","7/2/2026 10:00 AM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/30-%20IA%20Generativa?csf=1&web=1&e=mB89pr"
